file_id,file_name,full_path,file_extension,file_size_bytes,file_size_mb,last_modified,current_folder,parent_folder,group_name,company_folder,company_code,web_url,download_url,matched_company_id,matched_company_name,document_type
"",CIH 9 Share Certificate - KIRSTEN RENEE BAIRD - ORD - 1758686462.pdf,Corporate/No Group/CIH 9 Share Certificate - KIRSTEN RENEE BAIRD - ORD - 1758686462.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 9 Share Certificate - THE PROMISE QLD PTY LTD - A - 1758686462.docx,Corporate/No Group/CIH 9 Share Certificate - THE PROMISE QLD PTY LTD - A - 1758686462.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 9 Share Certificate - THE PROMISE QLD PTY LTD - ORD - 1758686462.docx,Corporate/No Group/CIH 9 Share Certificate - THE PROMISE QLD PTY LTD - ORD - 1758686462.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH Register of Members.xlsx,Corporate/No Group/CIH Register of Members.xlsx,.xlsx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.xlsx
"",CIH Share Certificate 24-09-2025.pdf,Corporate/No Group/CIH Share Certificate 24-09-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN 2022.03.31 - Certificate Of Registration - GEN2612 PTY LTD.pdf,Corporate/No Group/GEN 2022.03.31 - Certificate Of Registration - GEN2612 PTY LTD.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Annual Solvency Resolution FY25.pdf,Corporate/No Group/GEN Annual Solvency Resolution FY25.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Application for Shares.pdf,Corporate/No Group/GEN Application for Shares.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN ASIC Company Extract 28-06-2024.pdf,Corporate/No Group/GEN ASIC Company Extract 28-06-2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Company Details and Debtors Ledger 30-06-2023.pdf,Corporate/No Group/GEN Company Details and Debtors Ledger 30-06-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Company Registration Details 31-03-2022.pdf,Corporate/No Group/GEN Company Registration Details 31-03-2022.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Company Setup 2024.pdf,Corporate/No Group/GEN Company Setup 2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Corporate Key.pdf,Corporate/No Group/GEN Corporate Key.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Gen2612 - Debtors Report - EOFY25.pdf,Corporate/No Group/GEN Gen2612 - Debtors Report - EOFY25.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Gen2612 - View company details - EOFY25.pdf,Corporate/No Group/GEN Gen2612 - View company details - EOFY25.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Officeholder Consent Rachel Harder.pdf,Corporate/No Group/GEN Officeholder Consent Rachel Harder.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN [SIGNED] Gen2612 Pty Ltd - Tax return 2024.pdf,Corporate/No Group/GEN [SIGNED] Gen2612 Pty Ltd - Tax return 2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN ATO Account Summary FY25.pdf,Corporate/No Group/GEN ATO Account Summary FY25.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN CTR FY22 US.pdf,Corporate/No Group/GEN CTR FY22 US.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN CTR FY23 US.pdf,Corporate/No Group/GEN CTR FY23 US.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN EOY ATO FY24 Gen2612.pdf,Corporate/No Group/GEN EOY ATO FY24 Gen2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Gen2612 - AgreementDocument 2023FY - Financials & Tax Return Proposal.pdf,Corporate/No Group/GEN Gen2612 - AgreementDocument 2023FY - Financials & Tax Return Proposal.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Income Tax Statement 01-07-2023 to 01-07-2025 (01-07-2025).pdf,Corporate/No Group/GEN Income Tax Statement 01-07-2023 to 01-07-2025 (01-07-2025).pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement Dec 2024-Mar 2025.pdf,Corporate/No Group/GEN Bank Statement Dec 2024-Mar 2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement EOY FY24.pdf,Corporate/No Group/GEN Bank Statement EOY FY24.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement FY22.pdf,Corporate/No Group/GEN Bank Statement FY22.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement Jun-Sep 2024.pdf,Corporate/No Group/GEN Bank Statement Jun-Sep 2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement Mar-Jun 2025 FY25.pdf,Corporate/No Group/GEN Bank Statement Mar-Jun 2025 FY25.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement Mar-Sep 2024 FY24.pdf,Corporate/No Group/GEN Bank Statement Mar-Sep 2024 FY24.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Bank Statement Sep-Dec 2024.pdf,Corporate/No Group/GEN Bank Statement Sep-Dec 2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN EOY NAB 767243550 FY23 Gen2612.pdf,Corporate/No Group/GEN EOY NAB 767243550 FY23 Gen2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Title 160 Alperton Road Burbank 18-05-2022.pdf,Corporate/No Group/GEN Title 160 Alperton Road Burbank 18-05-2022.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Title 160 Alperton Road Burbank 28-07-2022.pdf,Corporate/No Group/GEN Title 160 Alperton Road Burbank 28-07-2022.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN [SIGNED] Gen2612 Pty Ltd - Financials 2023.pdf,Corporate/No Group/GEN [SIGNED] Gen2612 Pty Ltd - Financials 2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN [SIGNED] Gen2612 Pty Ltd - Financials 2024.pdf,Corporate/No Group/GEN [SIGNED] Gen2612 Pty Ltd - Financials 2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN ASIC 480 Cover Letter Annual Statements 16-04-2025.pdf,Corporate/No Group/GEN ASIC 480 Cover Letter Annual Statements 16-04-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN ASIC Company Statement 30-03-2025.pdf,Corporate/No Group/GEN ASIC Company Statement 30-03-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN BAS Statement 01-07-2023 to 01-07-2025 (01-07-2025).pdf,Corporate/No Group/GEN BAS Statement 01-07-2023 to 01-07-2025 (01-07-2025).pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 LAS to TEKNA Amendment 20-10-2023.pdf,Corporate/No Group/GEN L001 LAS to TEKNA Amendment 20-10-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 PPSR 202204070045778 07-04-2022.pdf,Corporate/No Group/GEN L001 PPSR 202204070045778 07-04-2022.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 SDS Deed of Amendment and Restatement 17-10-2023.pdf,Corporate/No Group/GEN L001 SDS Deed of Amendment and Restatement 17-10-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Constitution Gen2612.docx,Corporate/No Group/GEN Constitution Gen2612.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",GEN Constitution Gen2612.pdf,Corporate/No Group/GEN Constitution Gen2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Constitution.docx,Corporate/No Group/GEN Constitution.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",GEN Electronic Signature Disclosure 16-04-2025.pdf,Corporate/No Group/GEN Electronic Signature Disclosure 16-04-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Deed of Security Prov1322 and Rachel Harder.pdf,Corporate/No Group/GEN Deed of Security Prov1322 and Rachel Harder.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 LAD from THT 15-06-2024.pdf,Corporate/No Group/GEN L001 LAD from THT 15-06-2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 LAD to THSI General Loan Agreement 2024.pdf,Corporate/No Group/GEN L001 LAD to THSI General Loan Agreement 2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 PPSR 202204070045778 07-04-2022.pdf,Corporate/No Group/GEN L001 PPSR 202204070045778 07-04-2022.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 SDD Team Harder Super 26-12-2024.pdf,Corporate/No Group/GEN L001 SDD Team Harder Super 26-12-2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 SDD Team Harder Super Investments 27-12-2024.pdf,Corporate/No Group/GEN L001 SDD Team Harder Super Investments 27-12-2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 SDD Tekna 20-10-2023.pdf,Corporate/No Group/GEN L001 SDD Tekna 20-10-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN L001 SDS General Security Deed Tekna 17-10-2023.pdf,Corporate/No Group/GEN L001 SDS General Security Deed Tekna 17-10-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Loan Agreement - Gen2612 & Rachel.pdf,Corporate/No Group/GEN Loan Agreement - Gen2612 & Rachel.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Loan Agreement - Gen2612 & Tekna.pdf,Corporate/No Group/GEN Loan Agreement - Gen2612 & Tekna.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Loan Agreement - Prov1322 & Gen2612.pdf,Corporate/No Group/GEN Loan Agreement - Prov1322 & Gen2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN PPSR - Gen2612.pdf,Corporate/No Group/GEN PPSR - Gen2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN PPSR Registration.pdf,Corporate/No Group/GEN PPSR Registration.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Secured Loan Facility Deed.pdf,Corporate/No Group/GEN Secured Loan Facility Deed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Security Deed - Gen2612 & Prov1322.pdf,Corporate/No Group/GEN Security Deed - Gen2612 & Prov1322.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Security Deed - Tekna & GEN2612.pdf,Corporate/No Group/GEN Security Deed - Tekna & GEN2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Security Deed Rachel to Gen2612.pdf,Corporate/No Group/GEN Security Deed Rachel to Gen2612.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",TEK Board Resolution Intercompany Loans 17-10-2023.pdf,Corporate/No Group/TEK Board Resolution Intercompany Loans 17-10-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN MINS 26-12-2023.pdf,Corporate/No Group/GEN MINS 26-12-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN MINS Team Harder Super Meeting 26-12-2024.pdf,Corporate/No Group/GEN MINS Team Harder Super Meeting 26-12-2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Minutes - Prov1322.pdf,Corporate/No Group/GEN Minutes - Prov1322.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Minutes - Tekna .pdf,Corporate/No Group/GEN Minutes - Tekna .pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Minutes Draft 26-12-2024.pdf,Corporate/No Group/GEN Minutes Draft 26-12-2024.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN MINUTES OF THE MEETING - Borrower THSI.docx,Corporate/No Group/GEN MINUTES OF THE MEETING - Borrower THSI.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",GEN MINUTES OF THE MEETING - Lender GEN2612.docx,Corporate/No Group/GEN MINUTES OF THE MEETING - Lender GEN2612.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",GEN Minutes Signed 20-10-2023.pdf,Corporate/No Group/GEN Minutes Signed 20-10-2023.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Letter to Commissioner of Tax.pdf,Corporate/No Group/GEN Letter to Commissioner of Tax.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Register of Charges.pdf,Corporate/No Group/GEN Register of Charges.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Register of Debentures.pdf,Corporate/No Group/GEN Register of Debentures.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",GEN Resolution of Members Gen2612.docx,Corporate/No Group/GEN Resolution of Members Gen2612.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",GEN Share Certificate Gen2612.docx,Corporate/No Group/GEN Share Certificate Gen2612.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",PROV Annual Solvency Resolution FY24.pdf,Corporate/Team Harder Family Trust Group/PROV Annual Solvency Resolution FY24.pdf,.pdf,0,0,"",Team Harder Family Trust Group,Team Harder Family Trust Group,Team Harder Family Trust Group,Team Harder Family Trust Group,"","","",5,Team Harder Pty Ltd,.pdf
"",PROV Application for Shares Rachel Harder.pdf,Corporate/Team Harder Family Trust Group/PROV Application for Shares Rachel Harder.pdf,.pdf,0,0,"",Team Harder Family Trust Group,Team Harder Family Trust Group,Team Harder Family Trust Group,Team Harder Family Trust Group,"","","",5,Team Harder Pty Ltd,.pdf
